element,ion,wavelength,rel_intensity
H,I,644.911,84
H,I,825.435,621
H,I,874.805,400
H,I,652.31,726
H,I,735.659,744
H,I,709.437,333
H,I,617.996,859
H,I,285.874,772
H,I,347.708,343
H,I,316.542,269
H,I,200.087,711
H,I,627.999,208
H,I,487.243,804
H,I,580.496,668
H,I,347.006,504
H,I,355.149,314
H,I,636.266,821
H,I,227.485,650
H,I,582.807,769
H,I,362.407,384
H,I,754.811,155
H,I,777.357,219
H,I,842.04,490
H,I,405.231,813
H,I,443.298,973
H,I,896.304,805
H,I,822.099,267
H,I,723.104,302
H,I,753.404,998
H,I,536.513,243
H,I,495.102,363
H,I,600.146,780
H,I,710.647,460
H,I,353.868,662
H,I,430.942,967
H,I,331.167,286
H,I,808.832,359
H,I,500.959,916
H,I,525.28,366
H,I,431.842,282
H,I,545.691,985
H,I,708.061,329
H,I,501.977,554
H,I,653.428,652
H,I,762.438,908
H,I,645.081,335
H,I,456.294,979
H,I,385.311,361
H,I,793.631,606
H,I,646.966,703
H,I,462.511,538
H,I,230.138,989
H,I,287.442,772
H,I,684.402,861
H,I,210.019,199
H,I,435.059,539
H,I,646.905,453
H,I,492.781,876
H,I,308.53,480
H,I,322.842,291
H,I,725.554,895
H,I,513.447,894
H,I,869.126,566
H,I,351.015,524
H,I,350.32,463
H,I,492.492,197
H,I,446.708,798
H,I,594.603,731
H,I,405.383,168
H,I,694.42,101
H,I,390.797,589
H,I,382.686,977
H,I,367.14,400
H,I,618.294,394
H,I,648.117,209
H,I,640.218,251
H,I,278.862,320
H,I,695.711,117
H,I,358.761,55
H,I,213.494,601
H,I,532.17,255
H,I,542.094,799
H,I,228.446,462
H,I,774.474,804
H,I,500.68,107
H,I,390.537,837
H,I,452.958,881
H,I,585.264,92
H,I,398.59,900
H,I,761.326,832
H,II,359.26,926
H,II,557.346,616
H,II,492.386,145
H,II,510.398,790
H,II,409.522,786
H,II,817.424,620
H,II,634.481,556
H,II,339.225,307
H,II,352.513,99
H,II,460.425,161
H,II,517.019,831
H,II,709.371,979
H,II,309.24,671
H,II,235.209,373
H,II,219.551,957
H,II,336.68,786
H,II,584.4,450
H,II,707.7,112
